City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,266.88,42,0,4.12,US,1709328928
1,skelleftea,64.7507,20.9528,275.37,100,100,5.14,SE,1709329373
2,margaret river,-33.95,115.0667,288.52,77,0,6.67,AU,1709328665
3,waterville,44.552,-69.6317,274.72,44,0,5.66,US,1709329374
4,bikenibeu village,1.3673,173.1241,303.13,79,40,3.6,KI,1709328952
5,adamstown,-25.066,-130.1015,299.24,75,68,2.48,PN,1709328807
6,ushuaia,-54.8,-68.3,284.96,71,75,4.63,AR,1709328635
7,port-aux-francais,-49.35,70.2167,277.81,72,24,17.26,TF,1709328621
8,sitka,57.0531,-135.33,274.09,47,0,7.2,US,1709328799
9,college,64.8569,-147.8028,252.71,57,20,0.0,US,1709328885
10,haiku-pauwela,20.9219,-156.3051,298.85,66,20,8.75,US,1709328810
11,invercargill,-46.4,168.35,288.16,97,38,1.34,NZ,1709328630
12,waitangi,-43.9535,-176.5597,290.83,94,98,0.89,NZ,1709328809
13,tazacorte,28.629,-17.9293,291.69,62,75,8.23,ES,1709329055
14,albany,42.6001,-73.9662,281.06,42,1,0.89,US,1709328704
15,aras-asan,8.8908,126.3033,297.88,85,96,2.55,PH,1709329007
16,taroa,8.7058,171.2275,300.33,72,66,7.61,MH,1709328927
17,tiksi,71.6872,128.8694,244.81,100,38,1.72,RU,1709328827
18,box elder,41.5005,-112.8764,283.38,51,81,7.46,US,1709329380
19,saldanha,-33.0117,17.9442,291.18,93,0,5.22,ZA,1709328935
20,teofilo otoni,-17.8575,-41.5053,298.9,89,99,0.83,BR,1709329296
21,mont-dore,-22.2833,166.5833,302.14,99,58,3.2,NC,1709329382
22,vorozhba,51.1733,34.2192,276.2,79,95,2.93,UA,1709329383
23,nogliki,51.8333,143.1667,248.9,100,88,1.34,RU,1709329383
24,hauterive,46.0901,3.4459,282.59,83,99,5.2,FR,1709329384
25,talnakh,69.4865,88.3972,257.33,96,100,3.89,RU,1709328827
26,geraldton,-28.7667,114.6,296.38,56,54,4.12,AU,1709328892
27,edinburgh of the seven seas,-37.0676,-12.3116,287.69,60,53,1.53,SH,1709328620
28,argo,37.6333,22.7333,283.72,82,2,1.63,GR,1709329098
29,laojunmiao,39.8333,97.7333,264.36,43,44,3.26,CN,1709329386
30,udachny,66.4167,112.4,252.3,100,100,1.76,RU,1709328859
31,iqaluit,63.7506,-68.5145,250.0,64,20,3.09,CA,1709328829
32,hamilton,39.1834,-84.5333,280.5,72,100,5.14,US,1709328642
33,srpska crnja,45.7233,20.6886,285.48,57,100,5.28,RS,1709329387
34,valparaiso,-33.0393,-71.6273,295.28,64,0,4.12,CL,1709329351
35,igarka,67.4667,86.5833,260.64,96,100,3.95,RU,1709329389
36,namibe,-15.1961,12.1522,297.88,88,97,2.69,AO,1709328719
37,grytviken,-54.2811,-36.5092,279.36,87,99,2.76,GS,1709328805
38,kargat,55.1956,80.2811,267.02,97,100,2.94,RU,1709329390
39,blackmans bay,-43.0167,147.3167,285.22,67,46,0.45,AU,1709328826
40,nuuk,64.1835,-51.7216,276.49,93,100,17.43,GL,1709329391
41,katsuura,35.1333,140.3,278.58,58,99,7.6,JP,1709328731
42,nay pyi taw,19.745,96.1297,291.68,31,0,0.91,MM,1709329392
43,gubkinskiy,64.434,76.5026,261.68,91,100,4.99,RU,1709329393
44,danilovka,50.3557,44.1168,270.21,87,100,2.92,RU,1709329393
45,keflavik,64.0049,-22.5624,270.1,68,40,10.29,IS,1709328919
46,kalix,65.853,23.1565,274.13,96,100,7.16,SE,1709329395
47,coquimbo,-29.9533,-71.3436,293.0,77,75,5.14,CL,1709328855
48,nar'yan-mar,67.6713,53.087,271.54,95,100,8.94,RU,1709328999
49,kayangel,8.0823,134.7173,299.8,83,95,7.66,PW,1709329053
50,clifton,40.8584,-74.1638,282.03,51,0,6.17,US,1709329152
51,arkhara,49.4212,130.0842,255.5,97,100,3.24,RU,1709329397
52,sinabang,2.4803,96.3801,300.06,81,100,1.25,ID,1709328947
53,port blair,11.6667,92.75,297.17,88,29,0.51,IN,1709328816
54,hawaiian paradise park,19.5933,-154.9731,298.64,73,20,4.12,US,1709328923
55,batie,9.8833,-2.9167,304.63,32,79,1.7,BF,1709329399
56,ust-nera,64.5667,143.2,253.83,91,100,2.89,RU,1709328823
57,kapuskasing,49.4169,-82.4331,272.15,59,100,4.63,CA,1709328913
58,shorapur,16.5167,76.75,297.8,46,22,3.52,IN,1709329401
59,al bawiti,28.3492,28.8659,291.63,17,0,8.09,EG,1709329401
60,gadzhiyevo,69.2551,33.3362,274.68,98,100,8.78,RU,1709329047
61,romblon,12.5751,122.2708,298.84,76,98,5.95,PH,1709329402
62,west island,-12.1568,96.8225,301.14,89,75,6.69,CC,1709328703
63,illizi,26.4833,8.4667,287.04,25,2,1.49,DZ,1709328916
64,port elizabeth,-33.918,25.5701,294.32,88,20,6.17,ZA,1709328805
65,greymouth,-42.4667,171.2,287.15,90,100,1.82,NZ,1709329404
66,sao joao da barra,-21.6403,-41.0511,300.2,90,100,2.91,BR,1709329405
67,tolanaro,-25.0319,46.9987,297.19,88,75,4.12,MG,1709328905
68,galliano,29.4422,-90.2992,295.15,83,100,3.09,US,1709328902
69,yellowknife,62.456,-114.3525,248.44,58,40,8.75,CA,1709329406
70,yaren,-0.5472,166.916,301.86,78,73,8.07,NR,1709329407
71,klyuchi,52.2667,79.1667,262.96,96,99,1.97,RU,1709329407
72,lerwick,60.1545,-1.1494,279.15,82,84,4.35,GB,1709329073
73,luderitz,-26.6481,15.1594,291.01,82,0,2.96,NA,1709329110
74,hithadhoo,-0.6,73.0833,301.36,71,47,1.29,MV,1709328859
75,punta arenas,-53.15,-70.9167,285.21,66,40,11.32,CL,1709328621
76,bethel,41.3712,-73.414,280.25,46,0,4.63,US,1709329196
77,meulaboh,4.1363,96.1285,298.05,92,97,1.29,ID,1709329409
78,fortuna,40.5982,-124.1573,285.34,62,0,9.26,US,1709329410
79,stanley,54.868,-1.6985,274.66,94,77,2.6,GB,1709329006
80,bredasdorp,-34.5322,20.0403,292.43,84,1,1.66,ZA,1709328861
81,sanctuary point,-35.1114,150.629,296.9,89,100,5.93,AU,1709329412
82,dhidhdhoo,6.8833,73.1,300.76,73,94,1.46,MV,1709329412
83,erenhot,43.6475,111.9767,262.19,70,71,2.9,CN,1709328943
84,lodwar,3.1191,35.5973,304.1,49,97,1.04,KE,1709329413
85,lulea,65.5842,22.1547,274.19,93,100,6.17,SE,1709329414
86,playa del ingles,27.7567,-15.5787,291.7,55,30,0.89,ES,1709329414
87,nelson bay,-32.7167,152.15,299.87,94,63,1.79,AU,1709329415
88,carnarvon,-24.8667,113.6333,296.99,83,10,5.54,AU,1709329415
89,celestun,20.8667,-90.4,299.43,72,59,5.16,MX,1709329416
90,petropavlovsk-kamchatsky,53.0452,158.6483,270.48,54,75,7.0,RU,1709328926
91,georgetown,5.4112,100.3354,301.11,79,20,4.12,MY,1709328835
92,dudinka,69.4058,86.1778,260.97,96,100,4.53,RU,1709328993
93,clarksburg,39.2807,-80.3445,285.4,24,100,5.66,US,1709329418
94,homer,59.6425,-151.5483,266.08,38,0,6.17,US,1709329325
95,yuzhno-kurilsk,44.0306,145.8556,272.25,72,99,7.02,RU,1709328819
96,whitehorse,60.7161,-135.0538,255.58,55,20,5.14,CA,1709328695
97,constantia,44.1833,28.65,281.53,89,100,4.88,RO,1709329229
98,sabang,5.8933,95.3214,301.13,76,100,6.81,ID,1709328838
99,iskateley,67.6803,53.1512,271.49,95,100,8.94,RU,1709328838
100,sinan,34.8262,126.1086,269.21,56,96,6.51,KR,1709329421
101,port alfred,-33.5906,26.891,294.03,80,68,5.34,ZA,1709328856
102,fort bragg,35.139,-79.006,288.06,80,100,4.12,US,1709328920
103,kamaishi,39.2667,141.8833,269.4,72,65,4.9,JP,1709329423
104,olonkinbyen,70.9221,-8.7187,267.12,83,100,12.35,SJ,1709329423
105,mohelnice,49.777,16.9195,283.91,67,100,2.9,CZ,1709329424
106,tarancon,40.0085,-3.0073,278.46,82,8,4.52,ES,1709329424
107,nishinoomote,30.7333,131.0,282.38,64,100,12.42,JP,1709329425
108,afaahiti,-17.75,-149.2833,303.08,78,63,7.36,PF,1709329425
109,saipan,15.1355,145.701,299.54,78,40,6.69,MP,1709328727
110,ugoofaaru,5.6667,73.0,300.94,77,100,3.79,MV,1709328982
111,mirnyy,62.5353,113.9611,250.15,100,97,1.05,RU,1709329426
112,karachi,24.9056,67.0822,291.05,94,40,0.0,PK,1709329280
113,ma'ili,21.4219,-158.1803,300.16,52,40,5.14,US,1709329427
114,palu,-0.8917,119.8707,297.63,93,78,1.37,ID,1709329428
115,greenville,35.6127,-77.3663,288.17,63,0,6.69,US,1709328854
116,rujiena,57.8975,25.3316,274.29,91,1,3.76,LV,1709329429
117,tadine,-21.55,167.8833,298.72,79,96,6.27,NC,1709329109
118,puerto natales,-51.7236,-72.4875,282.4,71,100,9.77,CL,1709329416
119,lebork,54.5392,17.7501,283.41,72,81,4.85,PL,1709329430
120,road town,18.4167,-64.6167,298.2,83,40,5.14,VG,1709328938
121,utrik,11.2278,169.8474,299.6,77,87,7.9,MH,1709329431
122,qingyuan,23.7,113.0333,281.14,76,100,2.81,CN,1709329432
123,sinop,41.7711,34.8709,283.77,61,100,2.92,TR,1709328947
124,lashio,22.9333,97.75,284.31,56,0,0.65,MM,1709329433
125,sao jose da coroa grande,-8.8978,-35.1478,301.56,78,1,4.41,BR,1709329434
126,mkushi,-13.6202,29.3939,289.39,93,22,1.8,ZM,1709329434
127,st. john's,47.5649,-52.7093,265.81,83,100,10.8,CA,1709328919
128,puerto ayora,-0.7393,-90.3518,303.13,86,48,2.68,EC,1709329435
129,kone,-21.0595,164.8658,301.97,62,98,2.15,NC,1709328965
130,aasiaat,68.7098,-52.8699,273.47,98,100,3.4,GL,1709329018
131,ribeira grande,38.5167,-28.7,285.37,76,20,4.02,PT,1709328866
132,sisimiut,66.9395,-53.6735,274.01,98,100,3.63,GL,1709329045
133,itoman,26.1247,127.6694,287.58,88,75,10.8,JP,1709328933
134,salalah,17.0151,54.0924,299.2,14,0,7.2,OM,1709328802
135,martil,35.6166,-5.2752,285.13,66,0,4.63,MA,1709329438
136,santa cruz de tenerife,28.4682,-16.2546,292.44,87,75,8.23,ES,1709329170
137,lubang,13.8584,120.124,298.33,77,18,8.42,PH,1709329440
138,ilebo,-4.3167,20.5833,296.84,82,93,0.75,CD,1709329440
139,puerto leguizamo,-0.1934,-74.7819,303.44,62,90,2.07,CO,1709329441
140,chul'man,56.8479,124.9104,240.61,100,100,1.29,RU,1709329441
141,bikaner,28.0167,73.3,295.58,44,100,12.44,IN,1709329442
